Unmapped,CFT_Schema,CEF_Short,CEF,ECS,ECS Extended,PanOS:Traffic,PanOS:Threat,PanOS:Config,PanOS:System,PanOS: Tunnel Inspection,PanOS:HIP,Suricata
,,flexDate1Label,flexDate1Label,,,,,,,,,
,,flexString1,flexString1,,,,,,,,,
,,flexString2,flexString2,,,,,,,,,
,,flexString1 Label,flexString2Label,,,,,,,,,
,,flex String2Label,flexString2Label,,,,,,,,,
,,msg,message,,,,,,,,,
,,oldFileCreate Time,oldFileCreateTime,,,,,,,,,
,,oldFileHash,oldFileHash,,,,,,,,,
,,oldFileId,oldFileId,,,,,,,,,
,,oldFile Modification Time,oldFileModificationTime,,,,,,,,,
,,oldFileName,oldFileName,,,,,,,,,
,,oldFilePath,oldFilePath,,,,,,,,,
,,oldFile Permission,oldFilePermission,,,,,,,,,
,,oldFileSize,oldFileSize,,,,,,,,,
,,oldFileType,oldFileType,,,,,,,,,
,,rawEvent,rawEvent,,,,,,,,,
,,reason,Reason,,,,,,,,,
,,requestClient Application,requestClientApplication,user_agent.user.name,,$user_agent,$user_agent,$user_agent,$user_agent,$user_agent,$user_agent,
,,requestContext,requestContext,,http.request.referrer,$contenttype,$contenttype,$contenttype,$contenttype,$contenttype,$contenttype,
,,requestCookies,requestCookies,,,,,,,,,
,,requestMethod,requestMethod,,http.request.method,$http_method,$http_method,$http_method,$http_method,$http_method,$http_method,
,,request,requestUrl,,url.original,,$misc,,,,,
,signature_id,,deviceEventClassId,,,$subtype,$subtype,$result,$subtype,,$matchtype,
,,,severity,,,$number-of-severity,$number-of-severity,$number-of-severity,$number-of-severity,$number-of-severity,$number-of-severity,
,,src,sourceAddress,source.ip,,$src,$src,$src,$src,$src,$src,
,,sourceDns Domain,sourceDnsDomain,source.domain,,,,,,,,
,,slat,sourceGeoLatitude,source.location,,,,,,,,
,,slong,sourceGeoLongitude,source.location,,,,,,,,
,,shost,sourceHostName,source.hostname,,,,,,,$host,
,,smac,sourceMacAddress,source.mac,,,,,,,,
,,sntdom,sourceNtDomain,,,,,,,,,
,,spt,sourcePort,source.port,,$sport,$sport,$sport,$sport,$sport,$sport,
,,spid,sourceProcessId,,,,,,,,,
,,sproc,sourceProcessName,,,,,,,,,
,,source ServiceName,sourceServiceName,,,,,,,,,
,,source Translated Address,sourceTranslatedAddress,,,$natsrc,$natsrc,$natsrc,$natsrc,$natsrc,$natsrc,
,,source TranslatedPort,sourceTranslatedPort,,,$natsport,$natsport,$natsport,$natsport,$natsport,$natsport,
,,source TranslatedZone ExternalID,sourceTranslatedZone ExternalID,,,,,,,,,
,source_zone,source TranslatedZone URI,sourceTranslatedZoneURI,,,$from,$from,$from,$from,$from,$from,
,,suid,sourceUserId,source.user.id,,$sender,$sender,$sender,$sender,$sender,$sender,
,,suser,sourceUserName,source.user.name,,$srcuser,$srcuser,$srcuser,$srcuser,$srcuser,$srcuser,
,,spriv,sourceUserPrivileges,source.user.group,,,,,,,,
,,sourceZone ExternalID,sourceZoneExternalID,,,,,,,,,
,,sourceZoneURI,sourceZoneURI,,,,,,,,,
,,start,startTime,,,$cef-formatted-time_generated,,,,$start,,
,,proto,transportProtocol,network.transport,,$proto,$proto,$proto,$proto,$proto,$proto,
,,type,type,,event.kind,$type,$type,$type,$type,$type,$type,
,bytes_total,,,,,$bytes,$bytes,$bytes,$bytes,$bytes,$bytes,
,packets_sent,,,,,$pkts_sent,$pkts_sent,$pkts_sent,$pkts_sent,$pkts_sent,$pkts_sent,
,packets_received,,,,,$pkts_received,$pkts_received,$pkts_received,$pkts_received,$pkts_received,$pkts_received,
,packets_total,,,,,$packets,$packets,$packets,$packets,$packets,$packets,
,flags,,,,,$flags,$flags,$flags,$flags,$flags,$flags,
,url_category,,,,,$category,$category,,,,,
,rule,,,,,$rule,$rule,$rule,$rule,$rule,$rule,
virtualSystem,,,,,,$vsys,$vsys,$vsys,$vsys,$vsys,$vsys,
logProfile,,,,,,$logset,$logset,$logset,$logset,$logset,,
,duration,,,,,$elapsed,$elapsed,$elapsed,$elapsed,$elapsed,$elapsed,
reason,,,,,,$session_end_reason,$session_end_reason,$session_end_reason,$session_end_reason,$session_end_reason,$session_end_reason,
PanOSActionFlags,,,,,,$actionflags,,,,,,
PanOSSrcUUID ,,,,,,$src_uuid ,,,,,,
PanOSDstUUID ,,,,,,$dst_uuid ,,,,,,
PanOSTunnelID ,,,,,,$tunnelid ,,,,,,
PanOSMonitorTag ,,,,,,$monitortag ,,,,,,
PanOSParentSessionID ,,,,,,$parent_session_id ,,,,,,
PanOSParentStartTime ,,,,,,$parent_start_time ,,,,,,
PanOSTunnelType ,,,,,,$tunnel ,,,,,,
ad.DCN ,,,,,,$dstloc ,,,,,,
ad.SCN,,,,,,$srcloc,,,,,,
PanOSDGl1 ,,,,,,$dg_hier_level_1 ,,,,,,
PanOSDGl2 ,,,,,,$dg_hier_level_2 ,,,,,,
PanOSDGl3 ,,,,,,$dg_hier_level_3 ,,,,,,
PanOSDGl4 ,,,,,,$dg_hier_level_4 ,,,,,,
PanOSVsysName,,,,,,$vsys_name,,,,,,
